model,MFE,MAE,MAPE,MPE,MSE,SSE,SMSE,RMSE,NMSE,TRAINING_TIME,Score
MLP--,-0.004422854957266576,0.016218400856556354,47.11384480598876,15.367982855495743,0.0004700353407001769,3893.516923210708,0.01939929908328039,0.02168029844582811,0.04633083527037296,8.151664018630981,0.48715732066793305
RFR--,-0.0004938569617166679,0.013931928509165468,5.267842930608372,0.17870104664685393,0.00036612533008990915,0.1640241478802793,0.00036612533008990915,0.019134401743715668,0.03608854672807823,24.507036209106445,0.1429086866978653
SVR--,0.004733794425212372,0.02413370697429701,10.140755534046395,4.376972172662593,0.000878925495498617,0.3937586219833804,0.000878925495498617,0.029646677646890166,0.08663466088787658,11.936674356460571,0.565127016111766
