model,MFE,MAE,MAPE,MPE,MSE,SSE,SMSE,RMSE,NMSE,TRAINING_TIME,Score
MLP--,0.0023893015367750623,0.016829926788309284,48.25216512317358,18.334466288651953,0.0004825030918359231,3996.8831289573322,0.01991431724807344,0.021965953014515968,0.04755976695708782,8.272992372512817,0.5296516538305268
RFR--,-0.00012309828760110749,0.014256672049746602,5.374295158754534,0.3556674023282562,0.00037476743725627847,0.16789581189081276,0.00037476743725627847,0.019358911055539215,0.036940389151070355,38.355382442474365,0.1
SVR--,0.006776070326389158,0.02397398354323119,10.136605230988442,4.895881427176638,0.0008896397126385817,0.3985585912620846,0.0008896397126385817,0.02982682873921701,0.08769074877399864,14.003350734710693,0.5580495182239557
