model,MFE,MAE,MAPE,MPE,MSE,SSE,SMSE,RMSE,NMSE,TRAINING_TIME,Score
MLP--,-0.0016789445744987029,0.01877334557865895,46.998212259317604,16.56287094998767,0.0006176656046705512,3787.6819586771758,0.018871980422299386,0.024852879202831836,0.06088257818984003,5.6365931034088135,0.6065144401690904
RFR--,-5.239198188068285e-05,0.014059155793481128,5.333408671904683,0.35353743594528864,0.0003608703673506831,0.16166992457310603,0.0003608703673506831,0.018996588308185316,0.03557057118040908,28.359031677246094,0.1462962857049456
SVR--,0.001834409829317462,0.023390696784765543,9.288565179187247,2.155355290740557,0.0008722975581554841,0.3907893060536569,0.0008722975581554841,0.029534683986044002,0.08598135283497653,10.398903369903564,0.5443362127185662
