model,MFE,MAE,MAPE,MPE,MSE,SSE,SMSE,RMSE,NMSE,TRAINING_TIME,Score
MLP--,-0.0081829761379425,0.018387509449254397,46.21361476824403,13.73056639289815,0.0006162853272090568,3787.1566183892146,0.018869362934416926,0.0248250947069504,0.06074652585045498,10.223138570785522,0.4934725163993366
RFR--,-0.0023821308298881435,0.015301763604678184,5.746678229069608,0.2602643444289389,0.0004595317610061998,0.2058702289307775,0.0004595317610061998,0.02143669193243677,0.04529550967160846,39.21482610702515,0.05033155215337185
SVR--,0.015729756490252402,0.028899041369618034,13.513098537067478,9.803091797522313,0.001168761160714665,0.52360500000017,0.001168761160714665,0.03418714905801104,0.11520342433574945,121.41676259040833,0.6938963095520467
