model,MFE,MAE,MAPE,MPE,MSE,SSE,SMSE,RMSE,NMSE,TRAINING_TIME,Score
MLP--,-0.0017519402575439612,0.01770753157349569,47.21620076106423,16.531083587992228,0.0005661186916977203,3850.877113592033,0.01918684786348071,0.02379324886806592,0.05580165910387739,8.095324039459229,0.5765536791765463
RFR--,-0.00048738917746925643,0.014792100678138036,5.587257522288355,0.1558412550491772,0.0004036443562237671,0.18083267158824767,0.0004036443562237671,0.020090902324777928,0.03978675337084512,24.529547214508057,0.20823389369830397
SVR--,-0.005298319650384835,0.025515722826778522,9.856606270573145,-1.3134594496155534,0.0010933210694255774,0.4898078391026587,0.0010933210694255774,0.03306540593166183,0.10776738253282869,8.610678672790527,0.4170713820963955
