model,MFE,MAE,MAPE,MPE,MSE,SSE,SMSE,RMSE,NMSE,TRAINING_TIME,Score
MLP--,-0.00274546538462596,0.021790501578755592,45.607874156224725,16.098434127796914,0.0008432994908818337,3566.2957096313976,0.017768931907841387,0.029039619330869917,0.0831230471679742,6.7669336795806885,0.41901186151899406
RFR--,-0.0034509395375212017,0.02050095065582127,8.447822324853231,1.8556602647684488,0.0008590510925733779,0.3848548894728733,0.0008590510925733779,0.02930957339459887,0.0846756641735984,25.451990842819214,0.01881780001055199
SVR--,0.009752073475167622,0.02993536829072543,13.798954693394073,8.194103419653697,0.0013219125164903543,0.5922168073876788,0.0013219125164903543,0.03635811486436493,0.13029937483450962,225.383394241333,0.661646138367856
