model,MFE,MAE,MAPE,MPE,MSE,SSE,SMSE,RMSE,NMSE,TRAINING_TIME,Score
MLP--,0.0002557658997869943,0.016046230166538094,47.66985739738106,17.405377515264355,0.00043974818366938597,3908.186544860333,0.019472389911812087,0.020970173668078813,0.04334546552963984,13.927690029144287,0.5061005781284418
RFR--,-0.0003769884751508565,0.014054008980537238,5.3617788648373015,0.17020463087301568,0.00036246459044362645,0.16238413651874464,0.00036246459044362645,0.019038502841442824,0.03572771189113385,25.853628158569336,0.1
SVR--,0.0035085479369159197,0.02479072506557211,10.052641049874884,3.409524384915962,0.0010007576942515702,0.4483394470247034,0.0010007576942515702,0.031634754531236216,0.09864351861045141,8.390088081359863,0.5332296415696384
