model,MFE,MAE,MAPE,MPE,MSE,SSE,SMSE,RMSE,NMSE,TRAINING_TIME,Score
MLP--,-0.0010831721018893373,0.0407712775236739,41.02854837996357,16.822311432817454,0.0031263403959292837,2773.234771727647,0.013817536131455511,0.055913687017842814,0.3081597261753678,4.782929420471191,0.6813835650964223
RFR--,0.008315834842995229,0.02130902310623353,9.564629004399457,5.657873195944799,0.0007598291097019046,0.34040344114645327,0.0007598291097019046,0.027564997908614188,0.07489546905726921,43.74978733062744,0.034174213876338164
SVR--,0.028627696644490386,0.05303826454404311,24.40207288964261,18.705465596485045,0.0038630749639769315,1.7306575838616653,0.0038630749639769315,0.062153639989761915,0.38077879319989993,1539.3324844837189,0.770972774479379
