model,MFE,MAE,MAPE,MPE,MSE,SSE,SMSE,RMSE,NMSE,TRAINING_TIME,Score
MLP--,-0.003605594867670107,0.0176183051354188,47.11683109327801,15.723874344261187,0.000535969437137034,3878.2999632709316,0.01932348116266209,0.02315101373886323,0.05282988224876916,5.39992880821228,0.5021765757877448
RFR--,1.9063825016545003e-05,0.014483731346075474,5.515272401637,0.38413000390017493,0.000383706110031188,0.17190033729397222,0.000383706110031188,0.01958841775211025,0.037821463700173814,26.446013927459717,0.12131616738231851
SVR--,0.013398675307526864,0.025896847676009905,11.118444905974556,7.295662355659413,0.0010383707928511992,0.4651901151973372,0.0010383707928511992,0.03222376130825201,0.10235099786644059,7.787534236907959,0.573333808647797
