model,MFE,MAE,MAPE,MPE,MSE,SSE,SMSE,RMSE,NMSE,TRAINING_TIME,Score
MLP--,0.0010809692229915967,0.017207431422850382,47.693591401271604,17.764728036558612,0.0005126713359446076,3913.734873260692,0.01950003424575839,0.02264224670708734,0.05053341558979229,8.660666942596436,0.6180447869281032
RFR--,-1.0986126444019225e-05,0.014132770051292388,5.359701738067623,0.321673992537334,0.0003687942029595211,0.16521980292586544,0.0003687942029595211,0.01920401528221432,0.03635161441378749,26.427826404571533,0.18056894292708492
SVR--,-0.003433028653597033,0.023467061693656564,9.187915175024143,-0.5499911996214529,0.0009061024455946251,0.40593389562639204,0.0009061024455946251,0.030101535601936076,0.08931346115888102,8.716424226760864,0.41217141644927724
