model,MFE,MAE,MAPE,MPE,MSE,SSE,SMSE,RMSE,NMSE,TRAINING_TIME,Score
MLP--,0.0035336482513270207,0.022321642777782615,46.37865154577931,18.83279388483597,0.0008220251414437149,3564.7220775239903,0.017761091346081743,0.0286709808245849,0.08102605935885845,4.5732505321502686,0.4682583908687151
RFR--,-0.007116270364767798,0.021835324274155778,8.70124926235236,0.7522776074735495,0.0009917850472616423,0.4443197011732158,0.0009917850472616423,0.03149261893303957,0.09775909526260207,31.688703060150146,0.0741466541813384
SVR--,0.009508518058045413,0.033420087941142027,15.27701948768738,8.868978851387304,0.0016515015091721446,0.7398726761091208,0.0016515015091721446,0.040638670120614735,0.1627865774012813,285.92112469673157,0.6662871632725424
