model,MFE,MAE,MAPE,MPE,MSE,SSE,SMSE,RMSE,NMSE,TRAINING_TIME,Score
MLP--,-0.0040793139745241794,0.015230183659215772,47.612289531496025,15.517584326748924,0.00042049721545375177,3997.936695733727,0.019919566604221773,0.020506028758727316,0.04144792004749563,11.688045263290405,0.44923779398556596
RFR--,0.00027175916156298787,0.014179201834025459,5.344283844111487,0.4227042703017646,0.0003684289479247009,0.16505616867026598,0.0003684289479247009,0.01919450306532318,0.03631561165104901,25.181860208511353,0.20156105427214568
SVR--,-0.0021761082320156493,0.022848889194822957,8.932694595631094,0.18332821009091768,0.0008471133481555889,0.37950677997370386,0.0008471133481555889,0.029105211700923752,0.08349897463085783,11.394773483276367,0.45468446249738886
