model,MFE,MAE,MAPE,MPE,MSE,SSE,SMSE,RMSE,NMSE,TRAINING_TIME,Score
MLP--,-0.006908067527855081,0.016226545710190488,47.10929191751306,14.28574965592514,0.0004769720154555928,3920.8142265623173,0.01953530685269012,0.021839688996311116,0.04701457520988175,7.988456964492798,0.46062097106571026
RFR--,5.5158545986404e-05,0.014408157539093438,5.410058228828839,0.32439488226690505,0.0003770567720224917,0.16892143386607628,0.0003770567720224917,0.019417949737871188,0.03716604620863152,24.805785417556763,0.13504125950844376
SVR--,0.012963438723692712,0.02681646991008189,11.50225272697564,7.2988034587756285,0.0010878618486201692,0.48736210818183584,0.0010878618486201692,0.032982750774005636,0.10722927350582832,8.02074146270752,0.5684752176870427
