model,MFE,MAE,MAPE,MPE,MSE,SSE,SMSE,RMSE,NMSE,TRAINING_TIME,Score
MLP--,-0.004417997012409778,0.016149688776529846,47.21168194770089,15.370098340210387,0.00046899284502790854,3915.6985161109096,0.019509818021120204,0.021656242634120734,0.04622807768795375,5.473458766937256,0.47182113778538215
RFR--,-0.00015989060857235588,0.013987196811630551,5.326303578350237,0.26141497427224714,0.00035650435798102297,0.1597139523754983,0.00035650435798102297,0.018881322993398078,0.035140218729477826,30.326185941696167,0.13933924644382553
SVR--,0.006406070016728118,0.02578482210765463,10.740828412158086,4.833095110776219,0.001042539589587418,0.46705773613516327,0.001042539589587418,0.03228838165017593,0.1027619112981279,12.00316596031189,0.573048894904333
