model,MFE,MAE,MAPE,MPE,MSE,SSE,SMSE,RMSE,NMSE,TRAINING_TIME,Score
MLP--,-0.0014197064122876924,0.015678143739131987,47.37939253536661,16.675761150633157,0.0004252772060606578,3878.3073562182303,0.01932351799773911,0.02062225026665756,0.04191907814610285,17.117724657058716,0.42892415011804347
RFR--,0.0002592842248974996,0.014375129917398064,5.414416511175567,0.5047327601425118,0.00038240503916834104,0.17131745754741678,0.00038240503916834104,0.01955517934380406,0.03769321866282865,33.309794187545776,0.1121305618111619
SVR--,0.012421290099846428,0.027623471466120368,12.065486966241327,7.500331397581342,0.0011287080398845162,0.5056612018682632,0.0011287080398845162,0.03359625038429908,0.11125543493460852,18.012746810913086,0.5685854488643394
