model,MFE,MAE,MAPE,MPE,MSE,SSE,SMSE,RMSE,NMSE,TRAINING_TIME,Score
MLP--,0.004206920715352259,0.024590535958710597,47.30516019517882,19.125983216625112,0.001023311024863277,3604.560596842786,0.017959585244154506,0.03198923295209307,0.10086657410200811,8.01813006401062,0.46062458107174997
RFR--,-0.002010704552207384,0.024634730542772727,10.528861880453084,3.792042358004327,0.0012334661331281946,0.5525928276414311,0.0012334661331281946,0.035120736511756054,0.12158131799285109,25.622049570083618,0.10524710046111052
SVR--,0.008245243047992944,0.032643513273992245,14.803728449510054,8.758884580542944,0.001677655113855674,0.751589491007342,0.001677655113855674,0.040959188393517684,0.1653645077086366,325.0086154937744,0.6466763200557522
