model,MFE,MAE,MAPE,MPE,MSE,SSE,SMSE,RMSE,NMSE,TRAINING_TIME,Score
MLP--,-6.586056298441284e-06,0.015784496592882308,47.89609951368738,17.291131353705346,0.0004242347916146713,3963.8335103711097,0.01974964878812136,0.020596960737319262,0.041816328570063496,17.159706354141235,0.47354878844536274
RFR--,-0.00014737529570555373,0.013914357115501442,5.287093130983604,0.30891931372155185,0.00035053878491309905,0.15704137564106838,0.00035053878491309905,0.01872268102898458,0.0345521991505848,25.7188401222229,0.1
SVR--,0.007810666928826285,0.026419830931181058,11.093089489296549,5.275903321731476,0.0010715795098864978,0.4800676204291511,0.0010715795098864978,0.03273498907723199,0.10562434236902826,14.601990699768066,0.5465994003728694
