model,MFE,MAE,MAPE,MPE,MSE,SSE,SMSE,RMSE,NMSE,TRAINING_TIME,Score
MLP--,-0.002224887780275725,0.015943044254200244,47.36668829776809,16.325129571497865,0.00045694651988152613,3919.402543122308,0.01952827319396877,0.02137630744262269,0.045040685469447346,7.818000078201294,0.4671478416063069
RFR--,-0.00020627248247463516,0.014245106350843497,5.449024170719012,0.31757453076706593,0.0003576531158750881,0.16022859591203947,0.0003576531158750881,0.018911719008992495,0.0352534504551523,24.10205888748169,0.11322166753828784
SVR--,0.01304259109071767,0.025591099293208797,11.498166378433002,7.737927410560361,0.0009750094571212784,0.43680423679033276,0.0009750094571212784,0.03122514142676184,0.09610554490998664,13.17853593826294,0.5969326263323623
