model,MFE,MAE,MAPE,MPE,MSE,SSE,SMSE,RMSE,NMSE,TRAINING_TIME,Score
MLP--,-0.002974075756663719,0.01609670076140531,47.665669677208896,15.998881382364408,0.00046229474836313413,4006.3446631788297,0.01996145898028355,0.021501040634423586,0.0455678541125553,12.028562784194946,0.48643189218967864
RFR--,-0.00022290747584890826,0.01398464063511328,5.2625238108965045,0.25020469425911507,0.000358495956047365,0.16060618830921952,0.000358495956047365,0.018933989438239502,0.03533652822782115,25.527376413345337,0.12030919487648391
SVR--,0.010572341506781815,0.02516429154378837,10.574596509441044,5.815701515577344,0.0009837771959458565,0.4407321837837437,0.0009837771959458565,0.03136522271474979,0.09696977069898809,9.88760256767273,0.5510637213746665
