model,MFE,MAE,MAPE,MPE,MSE,SSE,SMSE,RMSE,NMSE,TRAINING_TIME,Score
MLP--,-0.0008190236411882274,0.015194138002054101,47.17082686522934,16.937339916565424,0.0004187500644949543,3855.6205588048515,0.019210481897744196,0.020463383505543612,0.04127570541541299,8.39915156364441,0.5333743108618825
RFR--,-0.0002535967205875702,0.01412932556326863,5.335788535545648,0.26967111467681304,0.00036662036588911307,0.16424592391832266,0.00036662036588911307,0.019147333127334288,0.03613734182938208,25.766923904418945,0.20103344997455927
SVR--,-0.002372407407387918,0.022836214894432404,8.926519226959737,0.0956203682898148,0.0008463385773429569,0.3791596826496447,0.0008463385773429569,0.02909189882670014,0.08342260637557117,5.835241079330444,0.4111343976544172
