model,MFE,MAE,MAPE,MPE,MSE,SSE,SMSE,RMSE,NMSE,TRAINING_TIME,Score
MLP--,-0.006407896631360054,0.0251719130077013,44.73454427966317,14.503558609594533,0.0011392974004316569,3461.405841523497,0.017246322153636685,0.03375347982699942,0.11229921585201215,4.8898842334747314,0.4778483935048355
RFR--,-0.023558764503960716,0.028673767473888005,9.82013891106667,-6.012438634021498,0.0016241546207783268,0.7276212701086904,0.0016241546207783268,0.040300801738654364,0.16009102651048257,25.632066011428833,0.409210565581483
SVR--,-0.0015276510789478353,0.028699382059221425,12.2000764991086,3.4745824501398515,0.0013273838499942624,0.5946679647974296,0.0013273838499942624,0.03643327942958556,0.13083867779607253,261.96250653266907,0.47157252681356016
