model,MFE,MAE,MAPE,MPE,MSE,SSE,SMSE,RMSE,NMSE,TRAINING_TIME,Score
MLP--,-0.0018250684711177405,0.02330518621150828,44.79948197491794,16.49923851305118,0.0009748090332578277,3382.351109433684,0.016852434976052714,0.031221931927057744,0.09608578936354634,5.738819599151611,0.5237518063807555
RFR--,-0.01575431154681901,0.022308225326328143,7.754743130079664,-3.623664720684879,0.0011346026848151798,0.5083020027972005,0.0011346026848151798,0.03368386386409938,0.11183646320974436,26.88640284538269,0.3096291227060009
SVR--,-0.003925012658261679,0.02650563612194624,11.076797377461808,2.2290685869983986,0.0011212285851912678,0.502310406165688,0.0011212285851912678,0.033484751532470235,0.11051819380974137,227.3203387260437,0.5981499627706057
