model,MFE,MAE,MAPE,MPE,MSE,SSE,SMSE,RMSE,NMSE,TRAINING_TIME,Score
MLP--,-0.0009287554263429953,0.018111549081433562,48.02580381358707,16.889555118456784,0.0005712064681795898,3982.381930112137,0.01984206557972007,0.02389992611242951,0.05630315529716966,7.368443965911865,0.5124718038651699
RFR--,0.0001174622505852557,0.014516697351304873,5.495586821099726,0.3448724916473671,0.0003867075072630487,0.1732449632538458,0.0003867075072630487,0.019664880047003813,0.03811730792440417,25.453922748565674,0.10692385136072995
SVR--,0.014181587393291886,0.026781753879170502,11.575388432047877,7.843248219771606,0.0010994154022979919,0.49253810022950034,0.0010994154022979919,0.03315743359034278,0.1083680938154613,9.667304277420044,0.5759996198571298
