model,MFE,MAE,MAPE,MPE,MSE,SSE,SMSE,RMSE,NMSE,TRAINING_TIME,Score
MLP--,0.0010439722008843528,0.016848824708193363,47.96046232215291,17.748616977857417,0.0004853591670830436,3947.556198784963,0.019668547705999694,0.022030868504964655,0.04784128696278998,8.364614486694336,0.5220759738974439
RFR--,7.877797763021697e-07,0.014554511632324308,5.445969997464767,0.38837994343400944,0.0004026944386343106,0.18040710850817115,0.0004026944386343106,0.020067247908826726,0.03969312110206299,27.35793375968933,0.1
SVR--,0.0022481839277768323,0.02432758527830307,9.96791899146344,1.8312587543763736,0.0009084536923006836,0.40698725415070625,0.0009084536923006836,0.03014056556039856,0.0895452208041369,10.536709785461426,0.5330146539989257
