model,MFE,MAE,MAPE,MPE,MSE,SSE,SMSE,RMSE,NMSE,TRAINING_TIME,Score
MLP--,0.0013525385617518012,0.015288433086864978,47.60775523418338,17.882988083151783,0.00040005910342372783,3897.0819902019084,0.019417061893145668,0.02000147753101575,0.03943335918428496,13.24421501159668,0.4547886134142093
RFR--,0.00026320053818081973,0.014455968800704691,5.441315842921206,0.4188215498839852,0.0003833698786058802,0.17174970561543434,0.0003833698786058802,0.01957983346726627,0.03778832176077102,24.733493089675903,0.1
SVR--,0.013021153446426693,0.02691831329471976,11.550618625465809,7.3287418295876305,0.001096622871217414,0.49128704630540143,0.001096622871217414,0.03311529663489992,0.10809283728413553,7.893113851547241,0.5578103367880513
