model,MFE,MAE,MAPE,MPE,MSE,SSE,SMSE,RMSE,NMSE,TRAINING_TIME,Score
MLP--,0.006570933793309548,0.024929499211648803,46.55698952206191,20.155437786210932,0.0009566335535209135,3562.450147855232,0.01774977154344324,0.030929493263241698,0.09429425352626954,3.937711477279663,0.609206414064569
RFR--,-0.004690369260555793,0.02082074506066141,8.577808115693577,1.593888959573786,0.0008651398046948906,0.387582632503311,0.0008651398046948906,0.02941325899479503,0.08527582142537081,27.119066953659058,0.008924621747099348
SVR--,0.006154491964892482,0.029258068413883318,13.315281930121698,7.227890036477549,0.0013327351819342529,0.5970653615065453,0.0013327351819342529,0.03650664572285781,0.13136615234345328,263.68379521369934,0.6419041926866692
