model,MFE,MAE,MAPE,MPE,MSE,SSE,SMSE,RMSE,NMSE,TRAINING_TIME,Score
MLP--,-0.004574991272858209,0.015880979325156867,46.96852083380298,15.301732196078458,0.0004574108540838826,3871.3698772406156,0.019288952274197902,0.021387165639324034,0.04508645435016115,10.732948303222656,0.47741934876595093
RFR--,-0.00021183409642310243,0.014104206145661016,5.325916806383324,0.201009217127666,0.0003710772849592298,0.16624262366173495,0.0003710772849592298,0.019263366397367563,0.03657665514344771,28.61873722076416,0.2
SVR--,-0.0013887567998033693,0.025872692244197453,10.229328587574175,0.6662270867544172,0.0010901998853011135,0.4884095486148988,0.0010901998853011135,0.033018175075268975,0.10745973105431725,5.429467678070068,0.49169125498736593
