model,MFE,MAE,MAPE,MPE,MSE,SSE,SMSE,RMSE,NMSE,TRAINING_TIME,Score
MLP--,-0.0007467566515345646,0.015115277091258416,48.063524202762444,16.968809955129455,0.00041139798590186853,4029.223469431869,0.020075451756974793,0.020282948156071113,0.04055101960416381,15.65464973449707,0.5625665628844524
RFR--,-0.000543402122005267,0.014365184772864597,5.414509914587945,0.12034940495863668,0.00037214954362201156,0.16672299554266118,0.00037214954362201156,0.01929117787026006,0.03668234642912544,24.904274702072144,0.20478631018822627
SVR--,-0.003848831294796111,0.026206937277626994,10.270766128976875,-0.7266081969012499,0.0011229236910569825,0.5030698135935282,0.0011229236910569825,0.03351005358182799,0.1106852784177057,8.100855112075806,0.41520530702959935
